Id,release,dir,exists,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,coverage_missing,snr
M10936018,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10936018_session_1/scan_RfMRI_std_2500_rest_RPI,False,0.0,0.0,0.0,0.0,0,0.0,0.0
M10918439,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10918439_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0539627733333,0.304115,0.0662634026525,0.206800507736,0,1410.0,88878.2452259
M10948071,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10948071_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.142470149167,1.69134,0.156017045419,1.15579289667,2,3507.0,866.93089116
M10997570,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10997570_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.7776917725,7.82819,0.666621593979,2.2617431176,17,831.0,-15733.4992147
M10903872,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10903872_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.132836255833,1.05984,0.371799201212,0.804254468436,0,416.0,14535.1467214
M10909459,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10909459_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0499891470833,0.194899,0.0548092102717,0.159300031387,0,3411.0,3903.30993681
M10979454,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10979454_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0855562866667,0.333538,0.0678749763234,0.26424912488,0,624.0,2910.70882236
M10999155,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10999155_session_1/scan_RfMRI_std_2500_rest_RPI,True,2.66536194167,20.2019,1.80291105211,6.64018075432,90,4208.0,29523.3272914
M10950716,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10950716_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.2543673325,2.33318,0.186456463337,0.722113702958,0,364.0,8625.79738894
M10961513,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10961513_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.31553194,1.70127,0.306110815278,1.02504511608,1,3120.0,-4719.88833123
M10930249,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10930249_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.654351515,4.97959,0.540391957908,1.61446949801,11,871.0,-158.7301727
M10932088,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10932088_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.143275895,1.30039,0.0902660517622,0.560959579649,0,238.0,11566.5295586
M10965660,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10965660_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0846122116667,1.20995,0.240176963957,0.586046841131,0,62022.0,902.766671374
M10957873,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10957873_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.176524053333,1.56355,0.173384940882,0.64480441996,0,149.0,-5030.83731493
